"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79532568","8.1.1.1.9.1.1","3468","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79532568","8.1.1.1.9.1.1","3528","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79532568","8.1.1.1.9.1.1","3984","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79532568","8.1.1.1.9.1.1","4416","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79532580","8.1.1.1.10.1.1","5442","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79532580","8.1.1.1.10.1.1","5199","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79532580","8.1.1.1.10.1.1","5688","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79532580","8.1.1.1.10.1.1","5181","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79532580","8.1.1.1.10.1.1","5247","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79532592","8.1.1.1.11.1.1","1581","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79532592","8.1.1.1.11.1.1","1575","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79532592","8.1.1.1.11.1.1","1611","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79532592","8.1.1.1.11.1.1","1524","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79532592","8.1.1.1.11.1.1","1524","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79532604","8.1.1.1.12.1.1","8763","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79532604","8.1.1.1.12.1.1","8397","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79532604","8.1.1.1.12.1.1","9048","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79532604","8.1.1.1.12.1.1","8418","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79532604","8.1.1.1.12.1.1","8490","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79532616","8.1.1.1.13.1.1","1278","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79532616","8.1.1.1.13.1.1","1209","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79532616","8.1.1.1.13.1.1","1203","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79532616","8.1.1.1.13.1.1","1167","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79532616","8.1.1.1.13.1.1","1233","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79532628","8.1.1.1.14.1.1","894","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79532628","8.1.1.1.14.1.1","741","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79532628","8.1.1.1.14.1.1","771","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79532628","8.1.1.1.14.1.1","765","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79532628","8.1.1.1.14.1.1","912","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407080","8.1.1.1.15.1.1","1395","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407080","8.1.1.1.15.1.1","1218","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407080","8.1.1.1.15.1.1","1191","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407080","8.1.1.1.15.1.1","1224","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407080","8.1.1.1.15.1.1","1317","","","","0"


