"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79541388","9.1.1.1.9.1.1","3249","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79541397","9.1.1.1.10.1.1","7374","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79541397","9.1.1.1.10.1.1","7065","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79541397","9.1.1.1.10.1.1","7161","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79541397","9.1.1.1.10.1.1","7071","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79541397","9.1.1.1.10.1.1","7305","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79541409","9.1.1.1.11.1.1","2121","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79541409","9.1.1.1.11.1.1","2139","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79541409","9.1.1.1.11.1.1","2223","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79541409","9.1.1.1.11.1.1","2139","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79541409","9.1.1.1.11.1.1","2085","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79541420","9.1.1.1.12.1.1","7530","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79541420","9.1.1.1.12.1.1","7482","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79541420","9.1.1.1.12.1.1","7941","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79541420","9.1.1.1.12.1.1","8358","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79541420","9.1.1.1.12.1.1","8604","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79541432","9.1.1.1.13.1.1","1188","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79541432","9.1.1.1.13.1.1","1107","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79541432","9.1.1.1.13.1.1","1032","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79541432","9.1.1.1.13.1.1","1074","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79541432","9.1.1.1.13.1.1","1119","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79541444","9.1.1.1.14.1.1","879","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79541444","9.1.1.1.14.1.1","774","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79541444","9.1.1.1.14.1.1","678","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79541444","9.1.1.1.14.1.1","624","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79541444","9.1.1.1.14.1.1","783","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407775","9.1.1.1.15.1.1","6477","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407775","9.1.1.1.15.1.1","2949","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407775","9.1.1.1.15.1.1","7005","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407775","9.1.1.1.15.1.1","7182","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138407775","9.1.1.1.15.1.1","7473","","","","0"


