"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79518589","7.1.1.1.8.1.1","77745","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79518601","7.1.1.1.9.1.1","57495","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79518601","7.1.1.1.9.1.1","61161","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79518601","7.1.1.1.9.1.1","64260","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79518601","7.1.1.1.9.1.1","69735","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79518601","7.1.1.1.9.1.1","83001","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79518613","7.1.1.1.10.1.1","114624","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79518613","7.1.1.1.10.1.1","111051","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79518613","7.1.1.1.10.1.1","112569","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79518613","7.1.1.1.10.1.1","118449","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79518613","7.1.1.1.10.1.1","126114","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79518625","7.1.1.1.11.1.1","14205","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79518625","7.1.1.1.11.1.1","13533","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79518625","7.1.1.1.11.1.1","13302","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79518625","7.1.1.1.11.1.1","13845","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79518625","7.1.1.1.11.1.1","14565","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79518637","7.1.1.1.12.1.1","113874","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79518637","7.1.1.1.12.1.1","115257","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79518637","7.1.1.1.12.1.1","116949","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79518637","7.1.1.1.12.1.1","119892","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79518637","7.1.1.1.12.1.1","127059","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79518649","7.1.1.1.13.1.1","27249","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79518649","7.1.1.1.13.1.1","26223","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79518649","7.1.1.1.13.1.1","24876","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79518649","7.1.1.1.13.1.1","24606","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79518649","7.1.1.1.13.1.1","25899","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79518661","7.1.1.1.14.1.1","9393","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79518661","7.1.1.1.14.1.1","9618","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79518661","7.1.1.1.14.1.1","10158","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79518661","7.1.1.1.14.1.1","10341","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79518661","7.1.1.1.14.1.1","10602","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138404953","7.1.1.1.15.1.1","51207","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138404953","7.1.1.1.15.1.1","41874","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138404953","7.1.1.1.15.1.1","47442","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138404953","7.1.1.1.15.1.1","42663","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138404953","7.1.1.1.15.1.1","45312","","","","0"


